,0
758,0.67978615
759,0.036317665
760,0.971136
761,0.5778729
762,0.0041631735
763,0.3153182
764,0.99919516
765,0.81572276
766,0.7786968
767,0.41630867
768,0.0050990977
769,0.008005306
770,0.7497199
771,0.054228805
772,0.38702452
773,0.8375747
774,0.054216906
775,0.028228924
776,0.99318385
777,0.10230607
778,0.99548924
779,0.99997026
780,6.842691e-05
781,0.99137783
782,9.5587166e-05
783,0.17253698
784,0.9999085
785,0.0047747004
786,0.0076340875
787,0.0028855044
788,0.036287624
789,0.15591806
790,0.069827214
791,0.028349826
792,0.9352076
793,0.006711774
794,0.2444721
795,0.010224455
796,4.482334e-06
797,0.9932829
798,0.063637644
799,0.008236046
800,0.18565695
801,0.091118
802,7.730304e-05
803,0.9915483
804,0.002109653
805,3.1145926e-05
806,0.13349597
807,0.003168877
808,0.8129854
809,0.07840744
810,0.10101131
811,0.98270065
812,0.0033156201
813,0.0032643422
814,0.06205863
815,0.0024814012
816,0.025634853
817,0.021449963
818,0.00040270126
819,0.017950239
820,0.9970119
821,0.004393973
822,0.9683638
823,0.11073756
824,0.0016938692
825,0.7209208
826,0.0054339697
827,0.050362315
828,0.00033398528
829,0.01986118
830,0.0008029223
831,0.79800105
832,0.0009875753
833,0.20856018
834,0.04276291
835,0.0038796728
836,0.3854718
837,0.98972917
838,0.38945025
839,0.99739754
840,0.9624597
841,0.0044035497
842,0.1596312
843,0.12329707
844,0.01556136
845,0.60345733
846,0.059702296
847,0.0074119666
848,0.008380042
849,0.00010613699
850,0.008341932
851,0.82090867
852,0.9991507
853,0.00055129145
854,0.00096146803
855,0.010151834
856,0.9966397
857,0.21811178
858,0.3281413
859,0.10856216
860,0.82344335
861,0.38982913
862,0.27633718
863,0.54917765
864,0.6333669
865,0.0070759873
866,0.00034046284
867,0.07657394
868,0.00095036067
869,0.024339782
870,0.07016932
871,0.9971531
872,0.0071791327
873,0.039268576
874,0.018920938
875,0.02588068
876,0.0035456643
877,0.9944635
878,0.064831875
879,0.0014788787
880,0.027578192
881,0.44728637
882,0.0042268503
883,0.4681763
884,0.020391533
885,0.0024841079
886,0.0006361229
887,0.00026511413
888,0.05870959
889,0.61270624
890,0.00011497342
891,0.5585902
892,0.03960586
893,0.69697636
894,0.77266926
895,0.8834307
896,0.007997415
897,0.0001287205
898,0.0070476853
899,0.997559
900,0.0007902701
901,0.025074689
902,0.81514025
903,0.71364003
904,0.36537507
905,0.0017570514
906,0.0016018407
907,0.9686168
908,0.2371405
909,0.2288983
910,0.6938069
911,0.02733235
912,1.4743593e-05
913,0.011600148
914,0.32535592
915,0.02756945
916,0.00017126874
917,0.91737527
918,0.11197047
919,0.2889268
920,0.00048603147
921,0.0012429048
922,0.019425716
923,0.06729638
924,0.84555995
925,0.0005945074
926,0.002287098
927,0.7544217
928,0.55202925
929,0.06276768
