Confidence of Model in Predicting True Label,Treatment
0.99082893,No Treatment (Control)
0.33626738,No Treatment (Control)
0.009573692,No Treatment (Control)
0.0010879367,No Treatment (Control)
0.104079366,No Treatment (Control)
0.03697916,No Treatment (Control)
0.91229796,No Treatment (Control)
0.0015449853,No Treatment (Control)
9.96E-05,No Treatment (Control)
0.00046843287,No Treatment (Control)
0.98964244,No Treatment (Control)
0.6922504,No Treatment (Control)
0.97741187,No Treatment (Control)
0.06255775,No Treatment (Control)
0.092418544,No Treatment (Control)
0.0004957785,No Treatment (Control)
0.64413005,No Treatment (Control)
0.044828165,No Treatment (Control)
0.23774998,No Treatment (Control)
0.023415376,No Treatment (Control)
0.064377315,No Treatment (Control)
0.0045760255,No Treatment (Control)
0.99855584,No Treatment (Control)
0.9808302,No Treatment (Control)
0.03135158,No Treatment (Control)
0.046246734,No Treatment (Control)
0.08206268,No Treatment (Control)
0.07639999,No Treatment (Control)
0.119597875,No Treatment (Control)
0.025652342,No Treatment (Control)
0.002470791,No Treatment (Control)
0.69343376,No Treatment (Control)
0.9950051,No Treatment (Control)
0.0011568762,No Treatment (Control)
0.0046775048,No Treatment (Control)
0.45735165,No Treatment (Control)
7.46E-05,No Treatment (Control)
0.0028849598,No Treatment (Control)
0.94487166,No Treatment (Control)
0.10193038,No Treatment (Control)
0.0006608086,No Treatment (Control)
0.0019453998,No Treatment (Control)
0.03671487,No Treatment (Control)
0.016883884,No Treatment (Control)
0.8164033,No Treatment (Control)
0.030329144,No Treatment (Control)
0.040417183,No Treatment (Control)
0.26816356,No Treatment (Control)
0.060457718,No Treatment (Control)
0.0014378438,No Treatment (Control)
0.9000376,No Treatment (Control)
0.11199234,No Treatment (Control)
0.72332644,No Treatment (Control)
0.021084122,No Treatment (Control)
0.0018837533,No Treatment (Control)
0.06932166,No Treatment (Control)
0.13466354,No Treatment (Control)
0.11883609,No Treatment (Control)
0.9980423,No Treatment (Control)
0.0087627815,No Treatment (Control)
0.5391853,No Treatment (Control)
0.7367628,No Treatment (Control)
0.13258365,No Treatment (Control)
0.83041114,No Treatment (Control)
0.021344146,No Treatment (Control)
0.034694478,No Treatment (Control)
0.013220335,No Treatment (Control)
0.8947724,No Treatment (Control)
0.80639875,No Treatment (Control)
0.7079417,No Treatment (Control)
0.0006704229,No Treatment (Control)
0.017386692,No Treatment (Control)
0.99978757,No Treatment (Control)
0.049369644,No Treatment (Control)
0.0010265176,No Treatment (Control)
0.5144568,No Treatment (Control)
0.99360883,No Treatment (Control)
0.17477594,No Treatment (Control)
0.003999385,No Treatment (Control)
2.65E-05,No Treatment (Control)
0.97087175,No Treatment (Control)
0.008535124,No Treatment (Control)
0.0018276687,No Treatment (Control)
0.0031839448,No Treatment (Control)
0.063326575,No Treatment (Control)
0.6930601,No Treatment (Control)
0.8109817,No Treatment (Control)
0.9999998,No Treatment (Control)
0.8704324,No Treatment (Control)
0.018639002,No Treatment (Control)
0.00615618,No Treatment (Control)
0.9662253,No Treatment (Control)
0.06298108,No Treatment (Control)
0.04969393,No Treatment (Control)
0.0012370204,No Treatment (Control)
0.54193074,No Treatment (Control)
0.000398307,No Treatment (Control)
0.0016255414,No Treatment (Control)
0.9748354,No Treatment (Control)
0.9832208,No Treatment (Control)
0.81334907,No Treatment (Control)
0.15596454,No Treatment (Control)
0.70782924,No Treatment (Control)
0.00019305611,No Treatment (Control)
0.99448764,No Treatment (Control)
0.54614365,No Treatment (Control)
0.9947465,No Treatment (Control)
0.68525136,No Treatment (Control)
0.004854485,No Treatment (Control)
0.08483744,No Treatment (Control)
0.44990155,No Treatment (Control)
0.37519065,No Treatment (Control)
2.48E-05,No Treatment (Control)
0.18735313,No Treatment (Control)
0.0008497668,No Treatment (Control)
0.00072909356,No Treatment (Control)
0.0046296734,No Treatment (Control)
0.52543175,No Treatment (Control)
0.034099206,No Treatment (Control)
0.014665328,No Treatment (Control)
0.99915475,No Treatment (Control)
0.005673356,No Treatment (Control)
0.014823663,No Treatment (Control)
0.00024234739,No Treatment (Control)
0.5190403,No Treatment (Control)
0.9974236,No Treatment (Control)
0.0008616328,No Treatment (Control)
6.14E-06,No Treatment (Control)
0.2583537,No Treatment (Control)
0.0077465693,No Treatment (Control)
0.84152544,No Treatment (Control)
0.05331079,No Treatment (Control)
0.46009395,No Treatment (Control)
0.005391655,No Treatment (Control)
0.00018885234,No Treatment (Control)
0.017962437,No Treatment (Control)
0.044939905,No Treatment (Control)
0.99756855,No Treatment (Control)
0.980628,No Treatment (Control)
0.00023313431,No Treatment (Control)
0.046781316,No Treatment (Control)
0.3509417,No Treatment (Control)
0.00069820543,No Treatment (Control)
0.107690305,No Treatment (Control)
0.0064775175,No Treatment (Control)
0.96211046,No Treatment (Control)
0.00022174079,No Treatment (Control)
0.006647959,No Treatment (Control)
0.00032348494,No Treatment (Control)
0.043483477,No Treatment (Control)
0.8477787,No Treatment (Control)
0.8692666,No Treatment (Control)
0.0030320599,No Treatment (Control)
0.015766416,No Treatment (Control)
0.77745867,No Treatment (Control)
0.844167,No Treatment (Control)
0.06663882,No Treatment (Control)
0.034577757,No Treatment (Control)
0.13342315,No Treatment (Control)
0.30444402,No Treatment (Control)
0.44724303,No Treatment (Control)
0.016709946,No Treatment (Control)
0.010967412,No Treatment (Control)
0.016403202,No Treatment (Control)
0.012781478,No Treatment (Control)
0.7929308,No Treatment (Control)
0.002710875,No Treatment (Control)
0.5659623,No Treatment (Control)
0.99616617,No Treatment (Control)
0.41807413,No Treatment (Control)
0.05994603,No Treatment (Control)
0.1763129,No Treatment (Control)
0.014467285,No Treatment (Control)
0.7162061,No Treatment (Control)
0.0066091823,No Treatment (Control)
0.039831474,No Treatment (Control)
0.00048169293,No Treatment (Control)
0.96053755,No Treatment (Control)
0.06982546,No Treatment (Control)
0.19759431,No Treatment (Control)
0.99895525,No Treatment (Control)
0.93911517,No Treatment (Control)
0.14689428,No Treatment (Control)
0.8590104,No Treatment (Control)
0.8034381,No Treatment (Control)
0.79457515,No Treatment (Control)
0.026145209,No Treatment (Control)
0.99681205,No Treatment (Control)
0.28178743,No Treatment (Control)
0.42696682,No Treatment (Control)
0.04348039,No Treatment (Control)
0.7967558,No Treatment (Control)
0.9991249,No Treatment (Control)
0.006615107,No Treatment (Control)
0.3040168,No Treatment (Control)
0.002645954,No Treatment (Control)
0.58839434,No Treatment (Control)
0.89177585,No Treatment (Control)
0.944915,No Treatment (Control)
0.29232487,No Treatment (Control)
0.00014977799,No Treatment (Control)
0.4709845,No Treatment (Control)
0.018437957,No Treatment (Control)
0.9285221,No Treatment (Control)
0.52413076,No Treatment (Control)
0.5948677,No Treatment (Control)
0.007630159,No Treatment (Control)
0.83984834,No Treatment (Control)
0.03227506,No Treatment (Control)
0.08467018,No Treatment (Control)
0.00014667724,No Treatment (Control)
0.16032594,No Treatment (Control)
0.98188215,No Treatment (Control)
0.53219396,No Treatment (Control)
0.0037318545,No Treatment (Control)
0.0013154153,No Treatment (Control)
0.015399017,No Treatment (Control)
0.045882612,No Treatment (Control)
0.26904568,No Treatment (Control)
0.7162586,No Treatment (Control)
0.14190839,No Treatment (Control)
0.012055709,No Treatment (Control)
0.00360561,No Treatment (Control)
0.990983,No Treatment (Control)
0.13046476,No Treatment (Control)
0.3796469,No Treatment (Control)
0.015211274,No Treatment (Control)
0.0017101357,No Treatment (Control)
0.5723235,No Treatment (Control)
0.0046664462,No Treatment (Control)
0.4355624,No Treatment (Control)
0.9996562,No Treatment (Control)
0.0058010225,No Treatment (Control)
0.0018995531,No Treatment (Control)
0.0026033078,No Treatment (Control)
0.8701041,No Treatment (Control)
0.013160068,No Treatment (Control)
0.3747751,No Treatment (Control)
0.13748845,No Treatment (Control)
0.77579004,No Treatment (Control)
0.1532855,No Treatment (Control)
0.066894054,No Treatment (Control)
0.19341765,No Treatment (Control)
0.088614576,No Treatment (Control)
0.001689646,No Treatment (Control)
0.0044644224,No Treatment (Control)
0.7384364,No Treatment (Control)
0.13053353,No Treatment (Control)
0.7841868,No Treatment (Control)
0.6268129,No Treatment (Control)
0.00397168,No Treatment (Control)
0.0047491323,No Treatment (Control)
0.09300067,No Treatment (Control)
0.024070969,No Treatment (Control)
0.99958307,No Treatment (Control)
0.003865339,No Treatment (Control)
0.9987905,No Treatment (Control)
0.29970965,No Treatment (Control)
0.00025842898,No Treatment (Control)
0.99750656,No Treatment (Control)
6.67E-05,No Treatment (Control)
0.31267747,No Treatment (Control)
0.22167084,No Treatment (Control)
0.56870526,No Treatment (Control)
0.65673804,No Treatment (Control)
0.87456745,No Treatment (Control)
0.93529075,No Treatment (Control)
0.00019038684,No Treatment (Control)
0.010324929,No Treatment (Control)
0.87802327,No Treatment (Control)
0.07022507,No Treatment (Control)
0.006089016,No Treatment (Control)
0.022048222,No Treatment (Control)
0.0058670184,No Treatment (Control)
0.0010904251,No Treatment (Control)
0.95413184,No Treatment (Control)
0.00019502219,No Treatment (Control)
0.0025686019,No Treatment (Control)
0.99961966,No Treatment (Control)
0.025429927,No Treatment (Control)
0.9939241,No Treatment (Control)
0.422433,No Treatment (Control)
0.95790225,No Treatment (Control)
0.54018855,No Treatment (Control)
0.60944885,No Treatment (Control)
0.7166631,No Treatment (Control)
0.0050677457,No Treatment (Control)
0.5955876,No Treatment (Control)
0.9972255,No Treatment (Control)
0.19852707,No Treatment (Control)
0.028459087,No Treatment (Control)
0.021788232,No Treatment (Control)
0.31810033,No Treatment (Control)
0.751933,No Treatment (Control)
0.9853897,No Treatment (Control)
0.098968305,No Treatment (Control)
0.008387758,No Treatment (Control)
0.5333987,No Treatment (Control)
0.00095615006,No Treatment (Control)
0.039674215,No Treatment (Control)
0.045964636,No Treatment (Control)
0.00040342507,No Treatment (Control)
0.9997319,No Treatment (Control)
0.00026834587,No Treatment (Control)
0.11514534,No Treatment (Control)
0.010758037,No Treatment (Control)
0.82308066,No Treatment (Control)
0.7417973,No Treatment (Control)
0.7670486,No Treatment (Control)
0.090139054,No Treatment (Control)
0.0031444258,No Treatment (Control)
0.019136375,No Treatment (Control)
0.9012159,No Treatment (Control)
0.50445426,No Treatment (Control)
0.9215973,No Treatment (Control)
0.00037402057,No Treatment (Control)
0.19916598,No Treatment (Control)
0.046791874,No Treatment (Control)
0.0051175347,No Treatment (Control)
0.0017078413,No Treatment (Control)
0.6333239,No Treatment (Control)
0.0016087252,No Treatment (Control)
0.04783902,No Treatment (Control)
0.997097,No Treatment (Control)
0.17185195,No Treatment (Control)
0.30193338,No Treatment (Control)
7.17E-05,No Treatment (Control)
0.5461444,No Treatment (Control)
0.026938217,No Treatment (Control)
0.0018340952,No Treatment (Control)
0.14698093,No Treatment (Control)
0.0073301382,No Treatment (Control)
0.9950705,No Treatment (Control)
0.9641823,No Treatment (Control)
0.0007475265,No Treatment (Control)
0.0934278,No Treatment (Control)
0.70314074,No Treatment (Control)
0.2053512,No Treatment (Control)
0.00039670448,No Treatment (Control)
0.22724487,No Treatment (Control)
0.8525359,No Treatment (Control)
0.17520538,No Treatment (Control)
0.065170504,No Treatment (Control)
0.0017479887,No Treatment (Control)
0.0035576094,No Treatment (Control)
0.98303634,No Treatment (Control)
0.2890045,No Treatment (Control)
0.033466183,No Treatment (Control)
0.1633668,No Treatment (Control)
0.7445049,No Treatment (Control)
0.0034624517,No Treatment (Control)
0.0018075991,No Treatment (Control)
0.9938015,No Treatment (Control)
0.5247855,No Treatment (Control)
0.014543744,No Treatment (Control)
0.7877403,No Treatment (Control)
0.81716174,No Treatment (Control)
0.010753061,No Treatment (Control)
0.45347032,No Treatment (Control)
0.10550706,No Treatment (Control)
0.99959725,No Treatment (Control)
0.020321086,No Treatment (Control)
0.8483568,No Treatment (Control)
0.8814008,No Treatment (Control)
0.020320028,No Treatment (Control)
0.9988946,No Treatment (Control)
0.19295084,No Treatment (Control)
0.025718309,No Treatment (Control)
0.56510675,No Treatment (Control)
0.0023463648,No Treatment (Control)
0.01563471,No Treatment (Control)
0.28468117,No Treatment (Control)
0.6560392,No Treatment (Control)
0.0019856275,No Treatment (Control)
0.8260362,No Treatment (Control)
0.0049407687,No Treatment (Control)
0.007795286,No Treatment (Control)
0.80209285,No Treatment (Control)
0.30234337,No Treatment (Control)
0.008037301,No Treatment (Control)
0.16340637,No Treatment (Control)
0.007508297,No Treatment (Control)
0.87940496,No Treatment (Control)
0.0052373735,No Treatment (Control)
0.042667296,No Treatment (Control)
0.18523167,No Treatment (Control)
0.2623412,No Treatment (Control)
9.80E-05,No Treatment (Control)
0.99982953,No Treatment (Control)
0.5262161,No Treatment (Control)
0.99835527,No Treatment (Control)
0.91852117,No Treatment (Control)
0.98099476,No Treatment (Control)
0.00260073,No Treatment (Control)
0.84676206,No Treatment (Control)
0.101806134,No Treatment (Control)
0.012282568,No Treatment (Control)
0.798477,No Treatment (Control)
0.78753334,No Treatment (Control)
0.8660175,No Treatment (Control)
0.03963159,No Treatment (Control)
0.98903126,No Treatment (Control)
0.019993665,No Treatment (Control)
0.99819523,No Treatment (Control)
0.04702041,No Treatment (Control)
0.03831839,No Treatment (Control)
0.048438344,No Treatment (Control)
0.0015745907,No Treatment (Control)
0.9984539,No Treatment (Control)
0.43720362,No Treatment (Control)
0.10720106,No Treatment (Control)
0.8313802,No Treatment (Control)
0.8393072,No Treatment (Control)
0.5528076,No Treatment (Control)
0.00083992066,No Treatment (Control)
0.0007965097,No Treatment (Control)
0.051469162,No Treatment (Control)
0.008382493,No Treatment (Control)
0.0035685096,No Treatment (Control)
0.020715175,No Treatment (Control)
0.011573513,No Treatment (Control)
0.2815567,No Treatment (Control)
0.84849435,No Treatment (Control)
0.013350699,No Treatment (Control)
0.9999854,No Treatment (Control)
0.022325885,No Treatment (Control)
0.0631863,No Treatment (Control)
0.022733899,No Treatment (Control)
0.052571703,No Treatment (Control)
0.04214059,No Treatment (Control)
0.016556116,No Treatment (Control)
0.00065039354,No Treatment (Control)
0.96672434,No Treatment (Control)
0.9944561,No Treatment (Control)
0.99813485,No Treatment (Control)
0.051039364,No Treatment (Control)
0.13248125,No Treatment (Control)
0.06614131,No Treatment (Control)
0.44694614,No Treatment (Control)
0.002518128,No Treatment (Control)
0.06071557,No Treatment (Control)
0.010420712,No Treatment (Control)
0.67978615,No Treatment (Control)
0.036317665,No Treatment (Control)
0.971136,No Treatment (Control)
0.5778729,No Treatment (Control)
0.0041631735,No Treatment (Control)
0.3153182,No Treatment (Control)
0.99919516,No Treatment (Control)
0.81572276,No Treatment (Control)
0.7786968,No Treatment (Control)
0.41630867,No Treatment (Control)
0.0050990977,No Treatment (Control)
0.008005306,No Treatment (Control)
0.7497199,No Treatment (Control)
0.054228805,No Treatment (Control)
0.38702452,No Treatment (Control)
0.8375747,No Treatment (Control)
0.054216906,No Treatment (Control)
0.028228924,No Treatment (Control)
0.99318385,No Treatment (Control)
0.10230607,No Treatment (Control)
0.99548924,No Treatment (Control)
0.99997026,No Treatment (Control)
6.84E-05,No Treatment (Control)
0.99137783,No Treatment (Control)
9.56E-05,No Treatment (Control)
0.17253698,No Treatment (Control)
0.9999085,No Treatment (Control)
0.0047747004,No Treatment (Control)
0.0076340875,No Treatment (Control)
0.0028855044,No Treatment (Control)
0.036287624,No Treatment (Control)
0.15591806,No Treatment (Control)
0.069827214,No Treatment (Control)
0.028349826,No Treatment (Control)
0.9352076,No Treatment (Control)
0.006711774,No Treatment (Control)
0.2444721,No Treatment (Control)
0.010224455,No Treatment (Control)
4.48E-06,No Treatment (Control)
0.9932829,No Treatment (Control)
0.063637644,No Treatment (Control)
0.008236046,No Treatment (Control)
0.18565695,No Treatment (Control)
0.091118,No Treatment (Control)
7.73E-05,No Treatment (Control)
0.9915483,No Treatment (Control)
0.002109653,No Treatment (Control)
3.11E-05,No Treatment (Control)
0.13349597,No Treatment (Control)
0.003168877,No Treatment (Control)
0.8129854,No Treatment (Control)
0.07840744,No Treatment (Control)
0.10101131,No Treatment (Control)
0.98270065,No Treatment (Control)
0.0033156201,No Treatment (Control)
0.0032643422,No Treatment (Control)
0.06205863,No Treatment (Control)
0.0024814012,No Treatment (Control)
0.025634853,No Treatment (Control)
0.021449963,No Treatment (Control)
0.00040270126,No Treatment (Control)
0.017950239,No Treatment (Control)
0.9970119,No Treatment (Control)
0.004393973,No Treatment (Control)
0.9683638,No Treatment (Control)
0.11073756,No Treatment (Control)
0.0016938692,No Treatment (Control)
0.7209208,No Treatment (Control)
0.0054339697,No Treatment (Control)
0.050362315,No Treatment (Control)
0.00033398528,No Treatment (Control)
0.01986118,No Treatment (Control)
0.0008029223,No Treatment (Control)
0.79800105,No Treatment (Control)
0.0009875753,No Treatment (Control)
0.20856018,No Treatment (Control)
0.04276291,No Treatment (Control)
0.0038796728,No Treatment (Control)
0.3854718,No Treatment (Control)
0.98972917,No Treatment (Control)
0.38945025,No Treatment (Control)
0.99739754,No Treatment (Control)
0.9624597,No Treatment (Control)
0.0044035497,No Treatment (Control)
0.1596312,No Treatment (Control)
0.12329707,No Treatment (Control)
0.01556136,No Treatment (Control)
0.60345733,No Treatment (Control)
0.059702296,No Treatment (Control)
0.0074119666,No Treatment (Control)
0.008380042,No Treatment (Control)
0.00010613699,No Treatment (Control)
0.008341932,No Treatment (Control)
0.82090867,No Treatment (Control)
0.9991507,No Treatment (Control)
0.00055129145,No Treatment (Control)
0.00096146803,No Treatment (Control)
0.010151834,No Treatment (Control)
