Confidence of Model in Predicting True Label,Treatment
0.80135643,FGSM Adversarial Training
0.2015685,FGSM Adversarial Training
0.9991344,FGSM Adversarial Training
0.43287444,FGSM Adversarial Training
0.8787781,FGSM Adversarial Training
0.8843786,FGSM Adversarial Training
0.9184068,FGSM Adversarial Training
0.99454665,FGSM Adversarial Training
0.03179498,FGSM Adversarial Training
0.9637677,PGD Adversarial Training
0.7336151,PGD Adversarial Training
0.47465846,PGD Adversarial Training
0.9687139,PGD Adversarial Training
0.76251745,PGD Adversarial Training
0.9960975,PGD Adversarial Training
0.6987497,PGD Adversarial Training
0.9323917,PGD Adversarial Training
0.0062520783,PGD Adversarial Training
0.9016954,PGD Adversarial Training
0.011349028,PGD Adversarial Training
0.9498748,PGD Adversarial Training
0.913698,PGD Adversarial Training
0.92314214,PGD Adversarial Training
0.85053754,PGD Adversarial Training
0.081984304,PGD Adversarial Training
0.9552278,PGD Adversarial Training
0.7725034,PGD Adversarial Training
0.048114117,PGD Adversarial Training
0.9033308,PGD Adversarial Training
0.94608486,PGD Adversarial Training
0.32741168,PGD Adversarial Training
0.8623351,PGD Adversarial Training
0.9784886,PGD Adversarial Training
0.99867225,PGD Adversarial Training
0.99021155,PGD Adversarial Training
0.9169568,PGD Adversarial Training
0.9880566,PGD Adversarial Training
0.9999005,PGD Adversarial Training
0.9177631,PGD Adversarial Training
0.9917082,PGD Adversarial Training
0.29165798,PGD Adversarial Training
0.8741267,PGD Adversarial Training
0.9810006,PGD Adversarial Training
0.8723497,PGD Adversarial Training
0.6768076,PGD Adversarial Training
0.8516058,PGD Adversarial Training
0.5836108,PGD Adversarial Training
0.9951507,PGD Adversarial Training
0.4074838,PGD Adversarial Training
0.9854958,PGD Adversarial Training
0.99383533,PGD Adversarial Training
0.6411122,PGD Adversarial Training
0.9995405,PGD Adversarial Training
0.9920121,PGD Adversarial Training
0.017335642,PGD Adversarial Training
0.026251888,PGD Adversarial Training
0.64475274,PGD Adversarial Training
0.52541286,PGD Adversarial Training
0.0013690796,PGD Adversarial Training
0.054803327,PGD Adversarial Training
0.9998684,PGD Adversarial Training
0.99948364,PGD Adversarial Training
0.00047816397,PGD Adversarial Training
0.7345824,PGD Adversarial Training
0.99866164,PGD Adversarial Training
0.9934443,PGD Adversarial Training
0.99901134,PGD Adversarial Training
0.27170134,PGD Adversarial Training
0.0028657862,PGD Adversarial Training
0.543725,PGD Adversarial Training
0.99945366,PGD Adversarial Training
0.9822785,PGD Adversarial Training
0.8212708,PGD Adversarial Training
0.65488,PGD Adversarial Training
0.59456736,PGD Adversarial Training
0.85862327,PGD Adversarial Training
0.99477696,PGD Adversarial Training
0.99019235,PGD Adversarial Training
0.689928,PGD Adversarial Training
0.02221813,PGD Adversarial Training
0.24457121,PGD Adversarial Training
0.8681254,PGD Adversarial Training
0.75992703,PGD Adversarial Training
0.99848425,PGD Adversarial Training
0.021718688,PGD Adversarial Training
0.9863065,PGD Adversarial Training
0.62992215,PGD Adversarial Training
0.53389347,PGD Adversarial Training
0.98668504,PGD Adversarial Training
0.99090636,PGD Adversarial Training
0.9483066,PGD Adversarial Training
0.5588056,PGD Adversarial Training
0.5918626,PGD Adversarial Training
0.9504984,PGD Adversarial Training
0.027194293,PGD Adversarial Training
0.5448043,PGD Adversarial Training
0.96035635,PGD Adversarial Training
0.6697658,PGD Adversarial Training
0.99495286,PGD Adversarial Training
0.88985425,PGD Adversarial Training
0.99693716,PGD Adversarial Training
0.6659701,PGD Adversarial Training
0.12544334,PGD Adversarial Training
0.99240905,PGD Adversarial Training
0.98477924,PGD Adversarial Training
0.010694269,PGD Adversarial Training
0.995087,PGD Adversarial Training
0.7917673,PGD Adversarial Training
0.99974024,PGD Adversarial Training
0.9907227,PGD Adversarial Training
0.68531954,PGD Adversarial Training
0.5244856,PGD Adversarial Training
0.07992649,PGD Adversarial Training
0.10459928,PGD Adversarial Training
0.19507428,PGD Adversarial Training
0.99938923,PGD Adversarial Training
0.97070146,PGD Adversarial Training
0.15213528,PGD Adversarial Training
0.33859697,PGD Adversarial Training
0.99918705,PGD Adversarial Training
0.12479109,PGD Adversarial Training
0.5338602,PGD Adversarial Training
0.9965292,PGD Adversarial Training
0.99363804,PGD Adversarial Training
0.21529852,PGD Adversarial Training
0.2263503,PGD Adversarial Training
0.2827252,PGD Adversarial Training
0.18677634,PGD Adversarial Training
0.69416815,PGD Adversarial Training
0.9669115,PGD Adversarial Training
0.98273087,PGD Adversarial Training
0.988647,PGD Adversarial Training
0.9840867,PGD Adversarial Training
0.3397318,PGD Adversarial Training
0.0037084455,PGD Adversarial Training
0.019909902,PGD Adversarial Training
0.810664,PGD Adversarial Training
0.0028344004,PGD Adversarial Training
0.62176895,PGD Adversarial Training
0.002631723,PGD Adversarial Training
0.9945712,PGD Adversarial Training
0.9972885,PGD Adversarial Training
0.9947344,PGD Adversarial Training
0.88842595,PGD Adversarial Training
0.88774383,PGD Adversarial Training
0.21448074,PGD Adversarial Training
0.99536383,PGD Adversarial Training
0.06468856,PGD Adversarial Training
0.18151405,PGD Adversarial Training
0.004954355,PGD Adversarial Training
0.48564383,PGD Adversarial Training
0.99997646,PGD Adversarial Training
0.98151004,PGD Adversarial Training
0.792702,PGD Adversarial Training
0.76347023,PGD Adversarial Training
0.9924041,PGD Adversarial Training
0.5552325,PGD Adversarial Training
0.9347108,PGD Adversarial Training
0.828515,PGD Adversarial Training
0.057292037,PGD Adversarial Training
0.9633024,PGD Adversarial Training
0.018469686,PGD Adversarial Training
0.11169255,PGD Adversarial Training
0.35019168,PGD Adversarial Training
0.66008604,PGD Adversarial Training
0.21471806,PGD Adversarial Training
0.9673334,PGD Adversarial Training
0.0035747816,PGD Adversarial Training
0.7591541,PGD Adversarial Training
0.02410131,PGD Adversarial Training
0.94778126,PGD Adversarial Training
0.8111316,PGD Adversarial Training
0.8680623,PGD Adversarial Training
0.9861625,PGD Adversarial Training
0.96522003,PGD Adversarial Training
0.00011975584,PGD Adversarial Training
0.90744746,PGD Adversarial Training
0.43397126,PGD Adversarial Training
0.9933985,PGD Adversarial Training
0.7911968,PGD Adversarial Training
0.028203338,PGD Adversarial Training
0.9981489,PGD Adversarial Training
0.9912993,PGD Adversarial Training
0.973685,PGD Adversarial Training
0.98392767,PGD Adversarial Training
0.98296654,PGD Adversarial Training
0.85305333,PGD Adversarial Training
0.86754966,PGD Adversarial Training
0.7182937,PGD Adversarial Training
0.18231003,PGD Adversarial Training
0.7049691,PGD Adversarial Training
0.9992253,PGD Adversarial Training
0.95082587,PGD Adversarial Training
0.16689089,PGD Adversarial Training
0.9665823,PGD Adversarial Training
0.99370795,PGD Adversarial Training
0.9945614,PGD Adversarial Training
0.67605966,PGD Adversarial Training
0.69465244,PGD Adversarial Training
0.9598639,PGD Adversarial Training
0.9084923,PGD Adversarial Training
0.99990195,PGD Adversarial Training
0.9956138,PGD Adversarial Training
0.94722027,PGD Adversarial Training
0.9040282,PGD Adversarial Training
0.44815445,PGD Adversarial Training
0.9960683,PGD Adversarial Training
0.9962667,PGD Adversarial Training
0.6019447,PGD Adversarial Training
0.97109497,PGD Adversarial Training
0.06255399,PGD Adversarial Training
0.9996142,PGD Adversarial Training
0.90371937,PGD Adversarial Training
0.04984384,PGD Adversarial Training
0.929,PGD Adversarial Training
0.29293966,PGD Adversarial Training
0.23097955,PGD Adversarial Training
0.07217473,PGD Adversarial Training
0.8968534,PGD Adversarial Training
0.011985041,PGD Adversarial Training
0.98027325,PGD Adversarial Training
0.68923616,PGD Adversarial Training
0.91713494,PGD Adversarial Training
0.99856627,PGD Adversarial Training
0.85320354,PGD Adversarial Training
0.50780123,PGD Adversarial Training
0.034263793,PGD Adversarial Training
0.6401283,PGD Adversarial Training
0.74962467,PGD Adversarial Training
0.28287172,PGD Adversarial Training
0.97221434,PGD Adversarial Training
0.8642899,PGD Adversarial Training
0.31643915,PGD Adversarial Training
0.065115616,PGD Adversarial Training
0.0006187946,PGD Adversarial Training
0.37878004,PGD Adversarial Training
0.23961887,PGD Adversarial Training
0.12580484,PGD Adversarial Training
0.042032592,PGD Adversarial Training
0.98903656,PGD Adversarial Training
0.9692158,PGD Adversarial Training
0.20546077,PGD Adversarial Training
0.15035552,PGD Adversarial Training
0.9479664,PGD Adversarial Training
0.7638,PGD Adversarial Training
0.89678556,PGD Adversarial Training
0.0007138204,PGD Adversarial Training
0.0914707,PGD Adversarial Training
0.6677143,PGD Adversarial Training
0.64901465,PGD Adversarial Training
0.0057727084,PGD Adversarial Training
0.23636302,PGD Adversarial Training
0.9612061,PGD Adversarial Training
0.483391,PGD Adversarial Training
0.9780946,PGD Adversarial Training
0.106666654,PGD Adversarial Training
0.9997363,PGD Adversarial Training
0.32937798,PGD Adversarial Training
0.7043019,PGD Adversarial Training
0.9867395,PGD Adversarial Training
0.96034664,PGD Adversarial Training
0.57273847,PGD Adversarial Training
0.43143412,PGD Adversarial Training
0.10663891,PGD Adversarial Training
0.0062956573,PGD Adversarial Training
0.024800679,PGD Adversarial Training
0.23823357,PGD Adversarial Training
0.9932193,PGD Adversarial Training
0.7491305,PGD Adversarial Training
0.57360226,PGD Adversarial Training
0.08540599,PGD Adversarial Training
0.9997852,PGD Adversarial Training
0.7722756,PGD Adversarial Training
0.8495485,PGD Adversarial Training
0.07142018,PGD Adversarial Training
0.9861282,PGD Adversarial Training
0.56116885,PGD Adversarial Training
0.999975,PGD Adversarial Training
0.999914,PGD Adversarial Training
0.9972083,PGD Adversarial Training
0.12984431,PGD Adversarial Training
0.999437,PGD Adversarial Training
0.96807224,PGD Adversarial Training
0.99633956,PGD Adversarial Training
0.6551603,PGD Adversarial Training
0.34666196,PGD Adversarial Training
0.99825484,PGD Adversarial Training
0.9965347,PGD Adversarial Training
0.7326366,PGD Adversarial Training
0.15148903,PGD Adversarial Training
0.2322015,PGD Adversarial Training
0.9671626,PGD Adversarial Training
0.9991108,PGD Adversarial Training
0.5318925,PGD Adversarial Training
0.6552184,PGD Adversarial Training
0.7330702,PGD Adversarial Training
0.90777755,PGD Adversarial Training
0.8779201,PGD Adversarial Training
0.05181737,PGD Adversarial Training
0.011178947,PGD Adversarial Training
0.33381054,PGD Adversarial Training
0.9540055,PGD Adversarial Training
0.028604709,PGD Adversarial Training
0.52178276,PGD Adversarial Training
0.91713154,PGD Adversarial Training
0.9194499,PGD Adversarial Training
0.9821415,PGD Adversarial Training
0.99719614,PGD Adversarial Training
0.9294498,PGD Adversarial Training
0.94767153,PGD Adversarial Training
0.96328634,PGD Adversarial Training
0.925651,PGD Adversarial Training
0.9688323,PGD Adversarial Training
0.18519829,PGD Adversarial Training
0.14858487,PGD Adversarial Training
0.88996834,PGD Adversarial Training
0.51012,PGD Adversarial Training
0.62353647,PGD Adversarial Training
0.49035975,PGD Adversarial Training
0.64731586,PGD Adversarial Training
0.38007095,PGD Adversarial Training
0.8664235,PGD Adversarial Training
0.9678491,PGD Adversarial Training
0.009074963,PGD Adversarial Training
0.80065256,PGD Adversarial Training
0.49044606,PGD Adversarial Training
0.94124174,PGD Adversarial Training
0.9119452,PGD Adversarial Training
0.99997765,PGD Adversarial Training
0.25270167,PGD Adversarial Training
0.005898102,PGD Adversarial Training
0.99532133,PGD Adversarial Training
0.520103,PGD Adversarial Training
0.04277793,PGD Adversarial Training
0.9825237,PGD Adversarial Training
0.99954456,PGD Adversarial Training
0.8520656,PGD Adversarial Training
0.5430146,PGD Adversarial Training
0.9917704,PGD Adversarial Training
0.9831522,PGD Adversarial Training
0.5833983,PGD Adversarial Training
0.678457,PGD Adversarial Training
0.7971889,PGD Adversarial Training
0.9967097,PGD Adversarial Training
0.9190763,PGD Adversarial Training
0.58060586,PGD Adversarial Training
0.048563533,PGD Adversarial Training
0.77217054,PGD Adversarial Training
0.99107623,PGD Adversarial Training
0.13431409,PGD Adversarial Training
0.9998653,PGD Adversarial Training
0.9952086,PGD Adversarial Training
0.9688613,PGD Adversarial Training
0.9992833,PGD Adversarial Training
0.08063914,PGD Adversarial Training
0.87393546,PGD Adversarial Training
0.7100583,PGD Adversarial Training
0.9973852,PGD Adversarial Training
0.88482165,PGD Adversarial Training
0.90979373,PGD Adversarial Training
0.7705644,PGD Adversarial Training
0.93083423,PGD Adversarial Training
0.9896691,PGD Adversarial Training
0.8911894,PGD Adversarial Training
0.822628,PGD Adversarial Training
0.9999344,PGD Adversarial Training
0.64179003,PGD Adversarial Training
0.86882746,PGD Adversarial Training
0.023877865,PGD Adversarial Training
0.97371316,PGD Adversarial Training
0.16282181,PGD Adversarial Training
0.984675,PGD Adversarial Training
0.5210548,PGD Adversarial Training
0.024040433,PGD Adversarial Training
0.17301172,PGD Adversarial Training
0.991814,PGD Adversarial Training
0.25292757,PGD Adversarial Training
0.23323485,PGD Adversarial Training
0.99820995,PGD Adversarial Training
0.87062466,PGD Adversarial Training
0.12712269,PGD Adversarial Training
0.34474185,PGD Adversarial Training
0.97941124,PGD Adversarial Training
0.95917577,PGD Adversarial Training
0.8666525,PGD Adversarial Training
0.95418245,PGD Adversarial Training
0.9518312,PGD Adversarial Training
0.9352467,PGD Adversarial Training
0.87389106,PGD Adversarial Training
0.4534273,PGD Adversarial Training
0.99242705,PGD Adversarial Training
0.9816912,PGD Adversarial Training
0.9073077,PGD Adversarial Training
0.9924936,PGD Adversarial Training
0.98500454,PGD Adversarial Training
0.24307075,PGD Adversarial Training
0.8433929,PGD Adversarial Training
0.21244484,PGD Adversarial Training
0.08152539,PGD Adversarial Training
0.2630845,PGD Adversarial Training
0.99722123,PGD Adversarial Training
0.3818076,PGD Adversarial Training
0.98838395,PGD Adversarial Training
0.95863736,PGD Adversarial Training
0.9921941,PGD Adversarial Training
0.90244037,PGD Adversarial Training
0.9328865,PGD Adversarial Training
0.6633064,PGD Adversarial Training
0.9026142,PGD Adversarial Training
0.8492448,PGD Adversarial Training
0.9980297,PGD Adversarial Training
0.9355003,PGD Adversarial Training
0.2743085,PGD Adversarial Training
0.9995515,PGD Adversarial Training
0.991948,PGD Adversarial Training
0.9401752,PGD Adversarial Training
0.9999984,PGD Adversarial Training
0.095243864,PGD Adversarial Training
0.9586579,PGD Adversarial Training
0.9965248,PGD Adversarial Training
0.843437,PGD Adversarial Training
0.614967,PGD Adversarial Training
0.99920446,PGD Adversarial Training
0.9989242,PGD Adversarial Training
0.99980855,PGD Adversarial Training
0.5667549,PGD Adversarial Training
0.035092693,PGD Adversarial Training
0.94819695,PGD Adversarial Training
0.48222733,PGD Adversarial Training
0.45108452,PGD Adversarial Training
0.9903118,PGD Adversarial Training
0.93308204,PGD Adversarial Training
0.016072623,PGD Adversarial Training
0.0053901463,PGD Adversarial Training
0.998574,PGD Adversarial Training
0.92620564,PGD Adversarial Training
0.95642877,PGD Adversarial Training
0.9998331,PGD Adversarial Training
0.43476948,PGD Adversarial Training
0.99465007,PGD Adversarial Training
0.9778414,PGD Adversarial Training
0.97512984,PGD Adversarial Training
0.34172884,PGD Adversarial Training
0.55056375,PGD Adversarial Training
0.7793406,PGD Adversarial Training
0.8702795,PGD Adversarial Training
0.9408858,PGD Adversarial Training
0.93997574,PGD Adversarial Training
0.7454653,PGD Adversarial Training
0.49806103,PGD Adversarial Training
0.7443207,PGD Adversarial Training
0.96201205,PGD Adversarial Training
0.29214182,PGD Adversarial Training
0.99776345,PGD Adversarial Training
0.98368216,PGD Adversarial Training
0.99111795,PGD Adversarial Training
0.07802524,PGD Adversarial Training
0.7704107,PGD Adversarial Training
0.9606663,PGD Adversarial Training
0.0021360987,PGD Adversarial Training
0.99731994,PGD Adversarial Training
0.9947611,PGD Adversarial Training
0.24647754,PGD Adversarial Training
0.9987606,PGD Adversarial Training
0.9929694,PGD Adversarial Training
0.97076666,PGD Adversarial Training
0.9997883,PGD Adversarial Training
0.9947344,PGD Adversarial Training
0.9735462,PGD Adversarial Training
0.015903281,PGD Adversarial Training
0.6802681,PGD Adversarial Training
0.15611796,PGD Adversarial Training
0.6215621,PGD Adversarial Training
0.0644165,PGD Adversarial Training
0.59532666,PGD Adversarial Training
0.98671526,PGD Adversarial Training
0.9739864,PGD Adversarial Training
0.9620609,PGD Adversarial Training
0.012102337,PGD Adversarial Training
0.99688333,PGD Adversarial Training
0.88747793,PGD Adversarial Training
0.09951036,PGD Adversarial Training
0.95376927,PGD Adversarial Training
0.04363624,PGD Adversarial Training
0.10596967,PGD Adversarial Training
0.032417543,PGD Adversarial Training
0.41414526,PGD Adversarial Training
0.96188295,PGD Adversarial Training
0.9095489,PGD Adversarial Training
0.97463834,PGD Adversarial Training
0.9294274,PGD Adversarial Training
0.18731838,PGD Adversarial Training
0.5330356,PGD Adversarial Training
0.51811033,PGD Adversarial Training
0.7840399,PGD Adversarial Training
0.9152882,PGD Adversarial Training
0.37377977,PGD Adversarial Training
0.19523634,PGD Adversarial Training
0.97735536,PGD Adversarial Training
0.89825714,PGD Adversarial Training
0.9829356,PGD Adversarial Training
0.47173038,PGD Adversarial Training
0.067297734,PGD Adversarial Training
0.018233139,PGD Adversarial Training
0.8692543,PGD Adversarial Training
0.10311281,PGD Adversarial Training
0.9989093,PGD Adversarial Training
0.99972034,PGD Adversarial Training
0.64722437,PGD Adversarial Training
0.9158719,PGD Adversarial Training
0.010483228,PGD Adversarial Training
0.83479613,PGD Adversarial Training
0.68851775,PGD Adversarial Training
0.9940915,PGD Adversarial Training
0.44063514,PGD Adversarial Training
0.99737924,PGD Adversarial Training
0.9002733,PGD Adversarial Training
0.99743146,PGD Adversarial Training
0.9860396,PGD Adversarial Training
0.41375452,PGD Adversarial Training
0.9852793,PGD Adversarial Training
0.9550181,PGD Adversarial Training
0.9949646,PGD Adversarial Training
0.16905807,PGD Adversarial Training
0.9580556,PGD Adversarial Training
0.98523855,PGD Adversarial Training
0.23639043,PGD Adversarial Training
0.993694,PGD Adversarial Training
0.6321796,PGD Adversarial Training
0.3320454,PGD Adversarial Training
0.31435254,PGD Adversarial Training
0.75709146,PGD Adversarial Training
0.90187746,PGD Adversarial Training
0.87164414,PGD Adversarial Training
0.03377555,PGD Adversarial Training
0.9791578,PGD Adversarial Training
0.89966667,PGD Adversarial Training
0.9777001,PGD Adversarial Training
0.98886704,PGD Adversarial Training
0.17775765,PGD Adversarial Training
0.19809423,PGD Adversarial Training
0.8789765,PGD Adversarial Training
0.9999983,PGD Adversarial Training
0.21256386,PGD Adversarial Training
0.9265433,PGD Adversarial Training
0.98862284,PGD Adversarial Training
0.14458789,PGD Adversarial Training
0.9921236,PGD Adversarial Training
0.9997895,PGD Adversarial Training
0.9994315,PGD Adversarial Training
0.9373866,PGD Adversarial Training
0.9463624,PGD Adversarial Training
0.8995549,PGD Adversarial Training
0.6777776,PGD Adversarial Training
0.0766072,PGD Adversarial Training
0.9949569,PGD Adversarial Training
0.13203605,PGD Adversarial Training
0.9996456,PGD Adversarial Training
0.4760184,PGD Adversarial Training
0.004924055,PGD Adversarial Training
0.045140397,PGD Adversarial Training
0.00072202855,PGD Adversarial Training
0.8680487,PGD Adversarial Training
0.9041809,PGD Adversarial Training
0.9335721,PGD Adversarial Training
0.09340128,PGD Adversarial Training
0.9994839,PGD Adversarial Training
0.8312662,PGD Adversarial Training
0.22334784,PGD Adversarial Training
0.99805015,PGD Adversarial Training
0.9807831,PGD Adversarial Training
0.15602435,PGD Adversarial Training
0.05724801,PGD Adversarial Training
0.97225803,PGD Adversarial Training
0.07690024,PGD Adversarial Training
0.97972214,PGD Adversarial Training
0.989032,PGD Adversarial Training
0.9924618,PGD Adversarial Training
0.8786943,PGD Adversarial Training
0.0064665014,PGD Adversarial Training
0.4312777,PGD Adversarial Training
0.019039804,PGD Adversarial Training
0.40482235,PGD Adversarial Training
0.9579733,PGD Adversarial Training
0.10858016,PGD Adversarial Training
0.97588736,PGD Adversarial Training
0.4633351,PGD Adversarial Training
0.99783283,PGD Adversarial Training
0.9929694,PGD Adversarial Training
0.5054256,PGD Adversarial Training
0.82383984,PGD Adversarial Training
0.9999972,PGD Adversarial Training
0.9992109,PGD Adversarial Training
0.998579,PGD Adversarial Training
0.97851896,PGD Adversarial Training
0.08207844,PGD Adversarial Training
0.98045886,PGD Adversarial Training
0.8679426,PGD Adversarial Training
0.9705173,PGD Adversarial Training
0.9696803,PGD Adversarial Training
0.023330059,PGD Adversarial Training
0.29213962,PGD Adversarial Training
0.011684319,PGD Adversarial Training
0.24195588,PGD Adversarial Training
0.9986287,PGD Adversarial Training
0.9974811,PGD Adversarial Training
0.5066313,PGD Adversarial Training
0.9889974,PGD Adversarial Training
0.13321292,PGD Adversarial Training
0.22641939,PGD Adversarial Training
0.33247206,PGD Adversarial Training
0.9122421,PGD Adversarial Training
0.14084208,PGD Adversarial Training
0.9999234,PGD Adversarial Training
0.8333768,PGD Adversarial Training
0.9994477,PGD Adversarial Training
0.44355148,PGD Adversarial Training
0.028194545,PGD Adversarial Training
0.9993833,PGD Adversarial Training
0.99643433,PGD Adversarial Training
0.9988472,PGD Adversarial Training
0.9987798,PGD Adversarial Training
0.96880966,PGD Adversarial Training
0.18679625,PGD Adversarial Training
0.96095353,PGD Adversarial Training
0.6763008,PGD Adversarial Training
0.99791646,PGD Adversarial Training
0.970937,PGD Adversarial Training
0.74657696,PGD Adversarial Training
0.6167482,PGD Adversarial Training
0.40885785,PGD Adversarial Training
0.039482825,PGD Adversarial Training
0.41904745,PGD Adversarial Training
0.945559,PGD Adversarial Training
0.9684284,PGD Adversarial Training
0.005860788,PGD Adversarial Training
0.33387235,PGD Adversarial Training
0.0014048006,PGD Adversarial Training
0.9306026,PGD Adversarial Training
0.99720246,PGD Adversarial Training
0.94485044,PGD Adversarial Training
0.49081013,PGD Adversarial Training
0.011662207,PGD Adversarial Training
0.12644573,PGD Adversarial Training
0.07569725,PGD Adversarial Training
0.560502,PGD Adversarial Training
0.90572125,PGD Adversarial Training
0.27882522,PGD Adversarial Training
0.99995357,PGD Adversarial Training
0.9717821,PGD Adversarial Training
0.08731012,PGD Adversarial Training
0.99975145,PGD Adversarial Training
0.96182835,PGD Adversarial Training
0.99696344,PGD Adversarial Training
0.959746,PGD Adversarial Training
0.99738735,PGD Adversarial Training
0.67753893,PGD Adversarial Training
0.5456882,PGD Adversarial Training
0.18683419,PGD Adversarial Training
0.9991587,PGD Adversarial Training
0.9999655,PGD Adversarial Training
0.18204157,PGD Adversarial Training
0.9841531,PGD Adversarial Training
0.9996255,PGD Adversarial Training
0.8352792,PGD Adversarial Training
0.9846232,PGD Adversarial Training
0.988816,PGD Adversarial Training
0.82452315,PGD Adversarial Training
0.9596916,PGD Adversarial Training
0.9695046,PGD Adversarial Training
0.9996063,PGD Adversarial Training
0.9814718,PGD Adversarial Training
0.5839479,PGD Adversarial Training
0.99695474,PGD Adversarial Training
0.07031846,PGD Adversarial Training
0.6694321,PGD Adversarial Training
0.25434375,PGD Adversarial Training
0.6749921,PGD Adversarial Training
0.0068915407,PGD Adversarial Training
0.9146921,PGD Adversarial Training
0.4427974,PGD Adversarial Training
0.9958375,PGD Adversarial Training
0.766294,PGD Adversarial Training
0.19968712,PGD Adversarial Training
0.7346843,PGD Adversarial Training
0.017890256,PGD Adversarial Training
0.06805892,PGD Adversarial Training
0.6053371,PGD Adversarial Training
0.9999394,PGD Adversarial Training
0.53725797,PGD Adversarial Training
0.99395835,PGD Adversarial Training
0.5085641,PGD Adversarial Training
0.99392945,PGD Adversarial Training
0.97706187,PGD Adversarial Training
0.036797028,PGD Adversarial Training
0.3312223,PGD Adversarial Training
0.9750042,PGD Adversarial Training
0.9904218,PGD Adversarial Training
0.96999705,PGD Adversarial Training
0.9388479,PGD Adversarial Training
0.57628983,PGD Adversarial Training
0.043946642,PGD Adversarial Training
0.4174625,PGD Adversarial Training
0.9909593,PGD Adversarial Training
0.9991282,PGD Adversarial Training
0.036824405,PGD Adversarial Training
0.9466765,PGD Adversarial Training
0.9836002,PGD Adversarial Training
0.9453694,PGD Adversarial Training
0.6117413,PGD Adversarial Training
0.9897792,PGD Adversarial Training
0.994695,PGD Adversarial Training
0.98477286,PGD Adversarial Training
0.7675664,PGD Adversarial Training
0.8939152,PGD Adversarial Training
0.8327847,PGD Adversarial Training
0.9610562,PGD Adversarial Training
0.6851106,PGD Adversarial Training
0.9869759,PGD Adversarial Training
0.08287216,PGD Adversarial Training
0.82089263,PGD Adversarial Training
0.19862173,PGD Adversarial Training
0.9188598,PGD Adversarial Training
0.5384212,PGD Adversarial Training
0.21942018,PGD Adversarial Training
0.2570512,PGD Adversarial Training
0.33185804,PGD Adversarial Training
0.9551122,PGD Adversarial Training
0.03930711,PGD Adversarial Training
0.9673673,PGD Adversarial Training
0.08998675,PGD Adversarial Training
0.8548155,PGD Adversarial Training
0.058535907,PGD Adversarial Training
0.90203744,PGD Adversarial Training
0.049822114,PGD Adversarial Training
0.0297051,PGD Adversarial Training
0.042393208,PGD Adversarial Training
0.993186,PGD Adversarial Training
0.06672826,PGD Adversarial Training
0.8288963,PGD Adversarial Training
0.99889576,PGD Adversarial Training
0.5046563,PGD Adversarial Training
0.99656975,PGD Adversarial Training
0.71718293,PGD Adversarial Training
0.2613552,PGD Adversarial Training
0.9789669,PGD Adversarial Training
0.98703164,PGD Adversarial Training
0.5832998,PGD Adversarial Training
0.606125,PGD Adversarial Training
0.9872344,PGD Adversarial Training
0.97894365,PGD Adversarial Training
0.9987929,PGD Adversarial Training
0.02275273,PGD Adversarial Training
0.21221821,PGD Adversarial Training
0.995571,PGD Adversarial Training
0.56666577,PGD Adversarial Training
0.993794,PGD Adversarial Training
0.6560608,PGD Adversarial Training
0.8372159,PGD Adversarial Training
0.8141764,PGD Adversarial Training
0.9978101,PGD Adversarial Training
0.99815977,PGD Adversarial Training
0.077297255,PGD Adversarial Training
0.21322897,PGD Adversarial Training
0.20671377,PGD Adversarial Training
0.61849856,PGD Adversarial Training
0.89712363,PGD Adversarial Training
0.65505004,PGD Adversarial Training
0.021208374,PGD Adversarial Training
0.0036336717,PGD Adversarial Training
0.9901518,PGD Adversarial Training
0.72064966,PGD Adversarial Training
0.96547574,PGD Adversarial Training
0.7152954,PGD Adversarial Training
0.78901577,PGD Adversarial Training
0.18480769,PGD Adversarial Training
0.9999936,PGD Adversarial Training
0.5768708,PGD Adversarial Training
0.34523785,PGD Adversarial Training
0.99146163,PGD Adversarial Training
0.20903207,PGD Adversarial Training
0.032019008,PGD Adversarial Training
0.9984676,PGD Adversarial Training
0.48413262,PGD Adversarial Training
0.005174826,PGD Adversarial Training
0.94527215,PGD Adversarial Training
0.99983406,PGD Adversarial Training
0.9998293,PGD Adversarial Training
0.9976524,PGD Adversarial Training
0.37254012,PGD Adversarial Training
0.6107013,PGD Adversarial Training
0.9886746,PGD Adversarial Training
0.52620345,PGD Adversarial Training
0.3338405,PGD Adversarial Training
0.24570997,PGD Adversarial Training
0.4934531,PGD Adversarial Training
0.2996106,PGD Adversarial Training
0.92551255,PGD Adversarial Training
0.9422915,PGD Adversarial Training
0.9507322,PGD Adversarial Training
0.32834488,PGD Adversarial Training
0.99442947,PGD Adversarial Training
0.020029902,PGD Adversarial Training
0.6916521,PGD Adversarial Training
0.96957374,PGD Adversarial Training
0.19357942,PGD Adversarial Training
0.25319397,PGD Adversarial Training
0.95962316,PGD Adversarial Training
0.7985692,PGD Adversarial Training
0.08270582,PGD Adversarial Training
0.9899742,PGD Adversarial Training
0.99029976,PGD Adversarial Training
0.84752077,PGD Adversarial Training
0.19447668,PGD Adversarial Training
0.32084644,PGD Adversarial Training
0.1398732,PGD Adversarial Training
0.777434,PGD Adversarial Training
0.93575853,PGD Adversarial Training
0.9443182,PGD Adversarial Training
0.01881813,PGD Adversarial Training
0.9225873,PGD Adversarial Training
0.17874075,PGD Adversarial Training
0.99577826,PGD Adversarial Training
